index,t,E,S
708,2018-11-03 23:00:00,9.691666666666668,9.083333015441896
709,2018-11-04 00:00:00,9.683333333333332,8.68055542310079
710,2018-11-04 01:00:00,9.925,8.5416665342119
711,2018-11-04 02:00:00,10.275,7.888888851801554
712,2018-11-04 03:00:00,10.333333333333334,7.448412656784058
713,2018-11-04 04:00:00,10.883333333333333,7.533950549584848
714,2018-11-04 05:00:00,11.375,8.181818189042987
715,2018-11-04 06:00:00,11.766666666666666,8.573717918151464
716,2018-11-04 07:00:00,12.183333333333332,9.150925874710083
717,2018-11-04 08:00:00,12.608333333333334,9.430555563347012
718,2018-11-04 09:00:00,12.550000000000002,9.391081897835983
719,2018-11-04 10:00:00,12.166666666666666,9.346560883143592
720,2018-11-04 11:00:00,11.733333333333333,9.231280205906302
721,2018-11-04 12:00:00,11.758333333333333,9.078703727987078
722,2018-11-04 13:00:00,11.700000000000001,9.197701194368559
723,2018-11-04 14:00:00,11.591666666666667,9.580439845720926
724,2018-11-04 15:00:00,11.525,10.238425936963823
725,2018-11-04 16:00:00,11.033333333333333,10.51041669315762
726,2018-11-04 17:00:00,10.541666666666666,10.37241377994932
727,2018-11-04 18:00:00,10.200000000000001,10.135995364851421
728,2018-11-04 19:00:00,9.633333333333333,9.779513898822996
729,2018-11-04 20:00:00,9.091666666666667,9.460648122760984
730,2018-11-04 21:00:00,8.941666666666666,9.327546268701553
731,2018-11-04 22:00:00,9.0,9.118634227249357
732,2018-11-04 23:00:00,8.958333333333334,9.090277764532301
733,2018-11-05 00:00:00,8.924999999999999,9.361494222180596
734,2018-11-05 01:00:00,8.966666666666667,9.081018480989668
735,2018-11-05 02:00:00,8.833333333333334,8.689655146105537
736,2018-11-05 03:00:00,8.958333333333334,8.140046291881138
737,2018-11-05 04:00:00,9.158333333333333,7.79918979273902
738,2018-11-05 05:00:00,9.058333333333334,7.5543981161382465
739,2018-11-05 06:00:00,8.658333333333333,7.415509227249357
740,2018-11-05 07:00:00,8.308333333333334,7.205439776182175
741,2018-11-05 08:00:00,7.991666666666667,7.081609143881963
742,2018-11-05 09:00:00,7.650000000000001,7.115740670098199
743,2018-11-05 10:00:00,7.2250000000000005,7.115161970257759
744,2018-11-05 11:00:00,7.0,6.526041601267126
745,2018-11-05 12:00:00,6.766666666666667,5.656249943551504
746,2018-11-05 13:00:00,6.6499999999999995,5.125862010748222
747,2018-11-05 14:00:00,6.375,4.589120307471603
748,2018-11-05 15:00:00,6.041666666666667,4.060763822868466
749,2018-11-05 16:00:00,5.566666666666666,3.971839033529676
750,2018-11-05 17:00:00,5.433333333333334,4.335648109722468
751,2018-11-05 18:00:00,5.516666666666667,4.997685121372342
752,2018-11-05 19:00:00,5.641666666666667,5.235632120535292
753,2018-11-05 20:00:00,5.766666666666667,4.9241897606601315
754,2018-11-05 21:00:00,5.858333333333333,4.398275816235049
755,2018-11-05 22:00:00,5.991666666666667,4.0545976505197325
756,2018-11-05 23:00:00,5.983333333333333,4.256944389599893
757,2018-11-06 00:00:00,5.916666666666667,4.344328646962014
776,2018-11-06 20:00:00,7.209090909090909,10.4285717010498
777,2018-11-06 21:00:00,7.4,8.054945102104774
778,2018-11-06 22:00:00,7.636363636363637,9.110119074583054
793,2018-11-07 13:00:00,12.591666666666669,19.4285717010498
794,2018-11-07 14:00:00,11.916666666666666,13.34674041711011
795,2018-11-07 15:00:00,11.083333333333334,15.531632460866655
796,2018-11-07 16:00:00,10.408333333333333,13.533214138746262
797,2018-11-07 17:00:00,9.791666666666666,13.482098401923926
929,2018-11-13 05:00:00,11.183333333333335,24.14285850524902
930,2018-11-13 06:00:00,11.549999999999999,24.14285850524902
1001,2018-11-16 05:00:00,10.516666666666667,12.42857074737549
1002,2018-11-16 06:00:00,10.475,12.42857074737549
1251,2018-11-26 15:00:00,9.358333333333333,11.14285755157471
1252,2018-11-26 16:00:00,9.299999999999999,11.14285755157471
1276,2018-11-27 16:00:00,10.616666666666665,16.0
1277,2018-11-27 17:00:00,10.625,16.714285850524902
1278,2018-11-27 18:00:00,10.475,15.476190567016602
1279,2018-11-27 19:00:00,10.558333333333334,14.642857074737549
1280,2018-11-27 20:00:00,10.674999999999999,14.114285850524903
1281,2018-11-27 21:00:00,10.924999999999999,14.0
1282,2018-11-27 22:00:00,11.025,13.673469543457031
1283,2018-11-27 23:00:00,10.908333333333333,13.839285612106323
1284,2018-11-28 00:00:00,10.791666666666666,14.238095177544487
1285,2018-11-28 01:00:00,10.616666666666667,14.614285659790038
1286,2018-11-28 02:00:00,10.5,14.935065009377219
1287,2018-11-28 03:00:00,10.291666666666666,14.940476099650065
1288,2018-11-28 04:00:00,10.05,15.35164818396935
1289,2018-11-28 05:00:00,9.958333333333334,15.263735991257887
1290,2018-11-28 06:00:00,10.016666666666667,14.96703265263484
1291,2018-11-28 07:00:00,9.941666666666666,15.14285683631897
1292,2018-11-28 08:00:00,9.991666666666667,15.047618707021078
1293,2018-11-28 09:00:00,9.75,15.726190169652305
1294,2018-11-28 10:00:00,10.108333333333333,16.52380919456482
1295,2018-11-28 11:00:00,9.950000000000001,16.380952199300133
1296,2018-11-28 12:00:00,9.75,16.952380657196045
1297,2018-11-28 13:00:00,9.741666666666665,17.999999682108562
1298,2018-11-28 14:00:00,9.708333333333334,18.28571367263794
1299,2018-11-28 15:00:00,9.733333333333333,19.13095188140869
1300,2018-11-28 16:00:00,9.783333333333333,18.595237652460735
1301,2018-11-28 17:00:00,9.591666666666667,17.964285413424175
1302,2018-11-28 18:00:00,9.308333333333334,17.36904736359914
