index,g_y
0,8.317989256610664
1,7.746681395594141
2,7.373833555302248
3,7.104819171099145
4,6.923802080942254
5,6.806299511676504
6,6.716816562555672
7,6.644678328874623
8,6.582666136146456
9,6.524284027447206
10,6.474599736042572
11,6.438975402910386
12,6.410679903811872
13,6.3845265542086995
14,6.362372915318691
15,6.3403492211636765
16,6.3196322296933785
17,6.298052473594378
18,6.279924401877112
19,6.262143978141629
20,6.245208750778366
21,6.22526169784225
22,6.203977727930471
23,6.186409130434187
24,6.170106564624751
25,6.158827956435085
26,6.147940261147994
27,6.137047151720831
28,6.125197616219437
29,6.114755486296773
30,6.104614011586068
31,6.095574373326333
32,6.084629484148569
33,6.07397636378164
34,6.0636035225639375
35,6.054956435484131
36,6.048742113134503
37,6.041688098066932
38,6.034718764139612
39,6.026583473472968
40,6.019037863753372
41,6.011552503041929
42,6.004626463343954
43,5.996702922938388
44,5.989366078911118
45,5.980508695775145
46,5.971290200016002
47,5.963413844044509
48,5.955758214412718
49,5.948509031131241
50,5.941447341714919
51,5.933945887655383
52,5.926981236848194
53,5.920235677875625
54,5.9136153933044415
55,5.906425286502554
56,5.899356023598692
57,5.8921082796844555
58,5.884763762610374
59,5.878016034058403
