g__windows_lbl
0h30m
1h00m
1h30m
2h00m
2h30m
3h00m
3h30m
4h00m
4h30m
5h00m
5h30m
6h00m
6h30m
7h00m
7h30m
8h00m
8h30m
9h00m
9h30m
10h00m
10h30m
11h00m
11h30m
12h00m
12h30m
13h00m
13h30m
14h00m
14h30m
15h00m
15h30m
16h00m
16h30m
17h00m
17h30m
18h00m
18h30m
19h00m
19h30m
20h00m
20h30m
21h00m
21h30m
22h00m
22h30m
23h00m
23h30m
24h00m
24h30m
25h00m
25h30m
26h00m
26h30m
27h00m
27h30m
28h00m
28h30m
29h00m
29h30m
30h00m
30h30m
31h00m
31h30m
32h00m
32h30m
33h00m
33h30m
34h00m
34h30m
35h00m
35h30m
36h00m
36h30m
37h00m
37h30m
38h00m
38h30m
39h00m
39h30m
40h00m
40h30m
41h00m
41h30m
42h00m
42h30m
43h00m
43h30m
44h00m
44h30m
45h00m
45h30m
46h00m
46h30m
47h00m
47h30m
48h00m
