fecha,ref,sen
2018-11-04 00:00:00,10.010833333333332,8.68055542310079
2018-11-04 01:00:00,9.980833333333333,8.5416665342119
2018-11-04 02:00:00,10.0175,7.888888851801554
2018-11-04 03:00:00,10.0375,7.448412656784058
2018-11-04 04:00:00,10.095833333333333,7.533950549584848
2018-11-04 05:00:00,10.135833333333332,8.181818189042987
2018-11-04 06:00:00,10.166666666666666,8.573717918151464
2018-11-04 07:00:00,10.194166666666668,9.150925874710083
2018-11-04 08:00:00,10.219166666666666,9.430555563347012
2018-11-04 09:00:00,10.2225,9.391081897835983
2018-11-04 10:00:00,10.215833333333334,9.346560883143592
2018-11-04 11:00:00,10.205000000000002,9.231280205906302
2018-11-04 12:00:00,10.205833333333334,9.062777795791625
2018-11-04 13:00:00,10.21,9.132201674543781
2018-11-04 14:00:00,10.215000000000002,9.28879312263138
2018-11-04 15:00:00,10.199166666666667,9.608422938213554
2018-11-04 16:00:00,10.181666666666667,9.698653199455954
2018-11-04 17:00:00,10.1625,9.684126974287487
2018-11-04 18:00:00,10.144166666666667,9.587087072767654
2018-11-04 19:00:00,10.109166666666665,9.537749274164183
2018-11-04 20:00:00,10.0725,9.448170720077142
2018-11-04 21:00:00,10.030833333333334,9.355620151342348
2018-11-04 22:00:00,10.005,9.225
2018-11-04 23:00:00,9.975833333333334,9.159278959247237
2018-11-05 00:00:00,9.958333333333334,9.214285709420029
2018-11-05 01:00:00,9.884166666666667,9.108115465812434
2018-11-05 02:00:00,9.85,9.0055031431546
2018-11-05 03:00:00,9.860833333333334,8.967676765268498
2018-11-05 04:00:00,9.868333333333334,8.898879133469878
2018-11-05 05:00:00,9.824166666666667,8.817796591311525
2018-11-05 06:00:00,9.754166666666666,8.732695789285044
2018-11-05 07:00:00,9.685833333333333,8.649250417790086
2018-11-05 08:00:00,9.5975,8.570512794836974
2018-11-05 09:00:00,9.53,8.553275262538474
2018-11-05 10:00:00,9.480833333333333,8.491143294002699
2018-11-05 11:00:00,9.459166666666668,8.269170556549735
2018-11-05 12:00:00,9.445,8.044520526120788
2018-11-05 13:00:00,9.456666666666669,7.830370349138975
2018-11-05 14:00:00,9.440833333333334,7.628968233331328
2018-11-05 15:00:00,9.422500000000001,7.476969035931781
2018-11-05 16:00:00,9.396666666666667,7.43415635805807
2018-11-05 17:00:00,9.343333333333334,7.521753656876135
2018-11-05 18:00:00,9.296666666666669,7.678104541874399
2018-11-05 19:00:00,9.248333333333335,7.706417590779363
2018-11-05 20:00:00,9.205833333333334,7.587234673261196
2018-11-05 21:00:00,9.149166666666668,7.450396792847158
2018-11-05 22:00:00,9.079166666666667,7.348267591928923
2018-11-05 23:00:00,9.0375,7.255555524899249
2018-11-06 00:00:00,9.011666666666667,7.153448245288997
2018-11-06 20:00:00,8.452100840336135,7.159085290823869
2018-11-06 22:00:00,8.425210084033614,7.303002703578988
2018-11-07 13:00:00,9.1,7.322280237756208
2018-11-07 14:00:00,9.110924369747897,8.154582709726329
2018-11-07 15:00:00,9.12016806722689,9.84046562432849
2018-11-07 16:00:00,9.116806722689077,9.727209487690768
2018-11-13 05:00:00,9.805833333333334,24.14285850524902
2018-11-16 05:00:00,10.261666666666667,18.285714626312256
2018-11-26 15:00:00,9.5,11.14285755157471
2018-11-27 16:00:00,9.78,13.571428775787355
2018-11-27 17:00:00,9.815,14.85714308420817
2018-11-27 18:00:00,9.84,14.392857313156128
2018-11-27 19:00:00,9.879166666666666,13.94285717010498
2018-11-27 20:00:00,9.910833333333333,13.61904780069987
2018-11-27 21:00:00,9.926666666666666,13.5918367930821
2018-11-27 22:00:00,9.964166666666667,13.35714304447174
2018-11-27 23:00:00,9.989166666666668,13.539682494269478
2018-11-28 00:00:00,10.0,13.928571414947509
2018-11-28 01:00:00,9.9775,14.298701286315918
2018-11-28 02:00:00,9.944999999999999,14.61904772122701
2018-11-28 03:00:00,9.919166666666666,14.648351595951961
2018-11-28 04:00:00,9.91,15.051020281655449
2018-11-28 05:00:00,9.923333333333334,15.03809502919515
2018-11-28 06:00:00,9.948333333333332,14.946428358554842
2018-11-28 07:00:00,9.979999999999999,14.78991575802074
2018-11-28 08:00:00,10.021666666666668,14.571428404914009
2018-11-28 09:00:00,9.986666666666668,14.939849451968545
2018-11-28 10:00:00,10.044166666666666,15.257142734527587
2018-11-28 11:00:00,10.044166666666667,15.16326518285842
2018-11-28 12:00:00,10.027500000000002,15.577921910719438
2018-11-28 13:00:00,10.028333333333332,16.229813492816426
2018-11-28 14:00:00,10.032499999999999,16.452380696932476
2018-11-28 15:00:00,10.017500000000002,16.79999973297119
2018-11-28 16:00:00,9.978333333333333,16.686812914334812
2018-11-28 17:00:00,9.981666666666667,16.338624088852495
2018-11-28 18:00:00,9.985833333333336,15.98469364643097
2018-11-28 19:00:00,9.98,15.694581064684638
2018-11-28 20:00:00,9.962500000000002,15.447618834177653
2018-11-28 21:00:00,9.975,15.230414544382404
2018-11-28 22:00:00,9.964166666666667,15.38392835855484
2018-11-28 23:00:00,9.95,15.285714062777432
2018-11-29 00:00:00,9.956666666666667,15.10924347709207
2018-11-29 01:00:00,9.953333333333335,14.959183474949429
2018-11-29 02:00:00,9.938333333333334,14.769841061698067
2018-11-29 03:00:00,9.897499999999999,14.567567374255207
2018-11-29 04:00:00,9.864166666666668,14.372180273658351
2018-11-29 05:00:00,9.867500000000001,14.201465032039545
2018-11-29 06:00:00,9.788333333333334,14.03571412563324
2018-11-29 07:00:00,9.788333333333332,13.905923192094011
2018-11-29 08:00:00,9.797500000000001,13.792516844613212
